text,label
i am sometimes more alone than i would like i don t often feel melancholy or ennui,sadness
i always look out for emotional abuse anyone that manipulates your feelings or emotions can be very dangerous and unhealthy,anger
i start to lose that sense of independence in that i feel a lot more hesitant to do things,fear
i really feel passionate about and it scares me that we might be just too different in those two aspects,love
i just feel low about myself atm,sadness
i loved everything about it there were some strong women all struggling to look amp feel amazing while the exes are back in the picture adding to the stress of holiday time,surprise
i was looking through the to her from him cards i noticed how so many of cards are apologetic i know i don t tell you often enough i don t know how i got to be so lucky sorry this is late for the woman i don t deserve you re always so patient with me and i couldn t help but feel a little offended,anger
i feel kind of sad now that its finished and i cried only a little bit hahah,sadness
i just dont have a filter and the only way i feel accepted is to tell people everything,love
i blurt out feeling too curious,surprise
i realize that when i m feeling irritable i mentally tag that as something to change,anger
i feel that if i did not come out as a director i may be thought of as a strange weird kid,fear
i already feel hopeless,sadness
i came home still feeling stunned and in need of rest i received a call from a dear elderly cousin marie to say she called an ambulance for herself and would be going to the hospital,surprise
i feel more affectionate with my partner and more spontaneous and creative,love
i think lots of people feel supportive towards helping local producers and farmers especially with the growing awareness of the effects of transport on the climate,love
i feel like i should have had sex with him and i m mad at my self because i joined him,anger
i feel envious of those that have had the courage to take their own lives i know that is what i need to do,anger
i feel like i approached it with caring about animals me not being a vegetarian still would like to know that animals are treated with care,love
i can t remember one specific situation but i hate the feeling when you know that somebody is disappointed in you,sadness
i feel insecure about my simplicity i bring this to mind,fear
ive been swinging between that sense of feeling out of place and overwhelmed on the one hand and energized engaged and excited on the other since i arrived in rio yesterday,surprise
i feel exhausted by this love,sadness
i was tearing i was smiling and laughing and i said you guys must be feeling so awful right now,sadness
i find abandoned buildings beautiful and inspiring in their own way but at the same time i feel for the empty structures the same way i feel for a suffering animal,sadness
i feel like ive been stunned that i cant wake up,surprise
i feel relaxed and comfortable in my own skin,joy
i feel like ive been living in my sweet spot,joy
i would tell them more often than not if i try to call him and he just wont answer his phone ill feel tortured again,anger
im past getting my feelings hurt when she returns anything i give her even when its something she specifically asked for,sadness
i realise everytime after meeting the girls ill feel unhappy lol,sadness
im feeling a little bit lost with the ending of my film,sadness
i feel like im lost,sadness
i started the supplements you recommended around week rotating oil of oregano garlic echinacea goldenseal grape seed extract and by that time my taste buds had changed acid reflux gone digestive issues solved and general feeling of loving life and feeling my body love me back,love
